order_id,ratings,complaint_type
1,4,
2,3,unsatisfied with food taste
2,4,
2,4,
2,2,Slow service
2,4,
3,4,
3,2,Slow service
4,3,unsatisfied with food taste
5,1,Slow service
6,4,
6,4,
7,4,
8,5,
9,3,unsatisfied with food taste
9,4,
9,2,Slow service
9,3,unsatisfied with food taste
9,3,unsatisfied with food taste
9,4,
9,4,
9,4,
9,3,unsatisfied with food taste
10,4,
10,3,unsatisfied with food taste
11,2,Slow service
11,1,Slow service
11,1,Slow service
11,3,unsatisfied with food taste
12,2,Slow service
12,4,
12,2,Slow service
12,3,unsatisfied with food taste
13,1,Slow service
14,4,
15,4,
15,3,unsatisfied with food taste
15,3,unsatisfied with food taste
15,2,Slow service
16,1,Slow service
16,2,Slow service
16,3,unsatisfied with food taste
17,1,Slow service
17,2,Slow service
17,4,
17,4,
17,4,
17,2,Slow service
17,1,Slow service
17,4,
17,1,Slow service
17,3,unsatisfied with food taste
18,4,
19,2,Slow service
19,5,
20,4,
20,4,
21,4,
22,3,unsatisfied with food taste
22,3,unsatisfied with food taste
22,2,Slow service
23,3,unsatisfied with food taste
24,2,Slow service
24,4,
24,4,
24,3,unsatisfied with food taste
25,4,
25,2,Slow service
26,4,
26,4,
27,3,unsatisfied with food taste
27,3,unsatisfied with food taste
27,2,Slow service
28,3,unsatisfied with food taste
29,1,Slow service
30,4,
31,2,Slow service
31,4,
32,4,
32,4,
32,1,Slow service
32,2,Slow service
33,1,Slow service
33,2,Slow service
34,4,
35,4,
35,4,
35,4,
35,4,
36,1,Slow service
36,4,
37,4,
37,3,unsatisfied with food taste
38,3,unsatisfied with food taste
38,4,
39,3,unsatisfied with food taste
40,4,
40,2,Slow service
41,4,
41,3,unsatisfied with food taste
42,1,Slow service
42,4,
42,3,unsatisfied with food taste
42,3,unsatisfied with food taste
43,1,Slow service
43,1,Slow service
43,4,
44,1,Slow service
45,3,unsatisfied with food taste
45,3,unsatisfied with food taste
45,4,
46,3,unsatisfied with food taste
46,4,
46,1,Slow service
47,2,Slow service
47,4,
48,4,
48,2,Slow service
48,4,
48,3,unsatisfied with food taste
49,3,unsatisfied with food taste
50,3,unsatisfied with food taste
51,1,Slow service
51,3,unsatisfied with food taste
52,3,unsatisfied with food taste
52,4,
52,4,
53,3,unsatisfied with food taste
53,2,Slow service
54,4,
54,4,
55,2,Slow service
55,4,
56,4,
56,4,
56,3,unsatisfied with food taste
57,2,Slow service
58,1,Slow service
58,3,unsatisfied with food taste
