order_id,order_type,prep_time,wait_time
1,In-store,10,12
2,In-store,7,10
2,In-store,9,15
2,In-store,6,14
2,Online,15,23
2,Online,9,15
3,In-store,5,7
3,Online,14,17
4,In-store,9,11
5,In-store,10,17
6,In-store,10,13
6,In-store,6,10
7,In-store,10,12
8,In-store,6,8
9,In-store,6,11
9,In-store,8,12
9,Online,13,19
9,In-store,7,9
9,Online,9,11
9,In-store,10,14
9,In-store,9,13
9,In-store,9,15
9,In-store,8,13
10,In-store,7,15
10,In-store,5,13
11,Online,11,19
11,Online,9,17
11,Online,8,16
11,In-store,6,10
12,Online,13,19
12,In-store,6,12
12,Online,12,17
12,In-store,7,14
13,Online,10,17
14,In-store,8,11
15,In-store,7,9
15,In-store,9,12
15,In-store,6,12
15,Online,12,17
16,In-store,10,16
16,Online,13,19
16,In-store,6,12
17,In-store,10,16
17,In-store,8,16
17,In-store,9,11
17,In-store,7,14
17,In-store,5,9
17,Online,10,18
17,Online,15,22
17,In-store,5,13
17,Online,14,22
17,In-store,9,13
18,In-store,9,12
19,In-store,9,16
19,In-store,6,8
20,In-store,10,14
20,In-store,6,14
21,In-store,5,7
22,In-store,9,13
22,Online,8,11
22,Online,14,20
23,Online,9,13
24,In-store,9,17
24,Online,12,14
24,In-store,5,8
24,In-store,5,13
25,In-store,8,15
25,In-store,10,18
26,In-store,6,12
26,In-store,6,13
27,Online,8,10
27,Online,13,15
27,In-store,9,16
28,In-store,7,14
29,In-store,9,16
30,In-store,8,11
31,Online,15,19
31,In-store,5,8
32,In-store,9,15
32,In-store,8,10
32,In-store,10,18
32,Online,14,17
33,In-store,9,16
33,Online,14,19
34,In-store,9,11
35,Online,10,12
35,In-store,9,14
35,Online,13,15
35,In-store,7,10
36,Online,15,18
36,In-store,6,12
37,In-store,7,13
37,In-store,7,14
38,In-store,7,10
38,In-store,9,13
39,In-store,7,12
40,In-store,10,13
40,Online,12,19
41,Online,9,13
41,In-store,5,12
42,In-store,10,18
42,In-store,9,13
42,In-store,6,11
42,In-store,8,15
43,Online,14,20
43,Online,15,18
43,In-store,8,15
44,Online,15,18
45,In-store,6,12
45,In-store,6,12
45,In-store,8,10
46,In-store,7,14
46,In-store,8,13
46,In-store,10,16
47,Online,11,18
47,In-store,7,14
48,In-store,8,14
48,Online,13,17
48,In-store,9,14
48,In-store,7,9
49,In-store,5,13
50,In-store,7,13
51,Online,12,16
51,In-store,5,11
52,In-store,10,15
52,Online,8,14
52,In-store,7,12
53,In-store,8,12
53,Online,12,16
54,In-store,5,13
54,In-store,8,11
55,Online,13,18
55,In-store,8,11
56,Online,9,14
56,In-store,10,13
56,In-store,10,12
57,Online,13,18
58,In-store,8,16
58,In-store,9,11
59,Online,11,15
59,Online,11,13
59,Online,11,15
60,In-store,8,13
60,Online,12,18
61,In-store,6,13
61,In-store,6,8
62,Online,13,17
62,In-store,8,16
63,Online,11,14
64,Online,8,12
65,In-store,7,13
65,In-store,6,8
65,Online,9,17
65,Online,11,14
66,Online,12,19
66,In-store,10,12
67,In-store,10,15
68,Online,8,11
68,Online,14,21
68,Online,13,18
69,In-store,7,11
70,In-store,8,16
70,In-store,6,14
71,In-store,5,12
72,In-store,10,15
73,In-store,6,14
74,Online,10,16
74,Online,9,15
74,In-store,9,15
74,Online,11,13
75,In-store,9,17
75,In-store,7,14
75,Online,9,16
76,Online,14,22
76,Online,8,13
76,Online,11,17
76,In-store,6,11
77,In-store,5,10
77,Online,12,19
78,Online,13,15
78,Online,12,16
78,Online,11,14
78,In-store,7,11
78,In-store,10,14
78,Online,11,15
79,Online,12,17
79,Online,11,13
79,Online,12,20
80,Online,10,18
80,In-store,8,10
81,Online,13,17
82,In-store,7,14
82,In-store,9,14
82,Online,12,18
82,In-store,7,15
83,In-store,10,15
84,In-store,10,12
85,In-store,10,18
85,In-store,10,12
85,In-store,9,14
85,In-store,9,15
86,Online,12,20
87,Online,15,19
87,Online,15,22
87,In-store,7,14
87,In-store,9,15
88,In-store,7,11
89,In-store,6,11
89,In-store,6,10
90,In-store,5,11
90,In-store,5,9
91,Online,12,15
91,In-store,6,11
91,Online,15,22
92,Online,11,14
92,In-store,8,13
92,In-store,9,16
92,Online,15,17
92,In-store,9,17
92,In-store,9,14
92,In-store,8,11
92,Online,11,19
92,In-store,5,13
93,In-store,9,17
94,In-store,7,9
94,In-store,6,8
95,Online,9,14
95,In-store,10,16
96,In-store,8,16
97,In-store,9,17
98,In-store,9,15
98,In-store,10,15
99,Online,13,21
100,In-store,7,9
101,In-store,10,14
101,Online,8,14
101,Online,8,10
101,In-store,8,16
102,Online,11,15
102,In-store,7,13
103,Online,8,10
104,In-store,10,14
104,Online,12,14
104,In-store,9,17
104,Online,9,16
105,In-store,5,13
105,In-store,7,14
105,In-store,7,9
106,Online,14,20
106,Online,8,10
107,In-store,8,15
107,In-store,6,8
107,In-store,5,10
107,In-store,10,14
108,In-store,6,11
108,In-store,7,9
108,In-store,8,13
109,In-store,10,13
109,Online,15,21
109,Online,8,12
109,Online,12,16
110,Online,9,13
110,In-store,10,16
110,In-store,8,14
110,In-store,6,12
111,In-store,7,13
111,Online,9,12
111,In-store,8,12
111,In-store,7,15
112,Online,10,14
113,In-store,10,16
113,Online,13,15
113,In-store,8,12
114,In-store,7,9
114,In-store,8,14
115,In-store,9,12
115,In-store,5,10
115,In-store,10,17
116,In-store,6,10
117,Online,15,21
117,In-store,9,13
118,In-store,7,12
118,In-store,9,13
119,In-store,8,13
120,Online,13,17
120,In-store,9,15
120,In-store,10,16
121,In-store,5,7
121,In-store,8,10
121,Online,9,11
121,In-store,6,10
122,In-store,10,13
123,Online,13,18
124,In-store,9,17
124,In-store,5,7
124,In-store,10,16
124,In-store,9,17
125,In-store,8,13
126,In-store,10,17
127,In-store,10,14
128,Online,13,21
129,In-store,10,12
129,In-store,9,12
130,In-store,5,10
130,Online,11,13
130,In-store,9,17
130,In-store,9,14
131,In-store,8,14
131,Online,11,18
131,In-store,10,14
131,Online,9,11
132,Online,13,19
133,In-store,8,12
133,Online,8,11
133,In-store,6,14
134,In-store,7,13
134,In-store,7,15
134,In-store,8,13
135,Online,15,23
136,Online,12,18
136,Online,14,17
137,Online,12,15
137,Online,10,12
137,In-store,7,11
138,Online,10,16
138,In-store,6,13
138,Online,14,18
138,Online,10,15
139,In-store,9,14
140,In-store,6,14
140,In-store,9,12
141,In-store,8,12
142,In-store,5,7
143,In-store,6,10
143,In-store,9,16
143,In-store,10,17
143,In-store,8,12
143,In-store,10,15
143,Online,14,16
143,In-store,9,11
143,Online,11,18
144,Online,9,16
144,Online,14,18
144,In-store,9,15
144,Online,13,18
144,Online,10,13
144,In-store,7,15
144,In-store,8,13
144,In-store,5,10
144,In-store,9,11
144,Online,14,18
144,Online,8,11
144,Online,11,13
145,In-store,6,12
146,In-store,6,10
146,Online,14,16
146,In-store,7,12
147,In-store,8,11
148,In-store,7,9
149,Online,15,21
150,Online,14,18
151,In-store,6,12
151,In-store,8,14
152,Online,14,19
152,Online,11,15
152,In-store,7,15
152,In-store,8,15
153,Online,12,20
154,Online,14,22
155,In-store,5,9
155,Online,14,17
155,Online,14,20
155,Online,14,21
156,In-store,6,8
156,In-store,5,9
157,In-store,6,9
157,In-store,10,18
157,In-store,5,11
157,Online,9,15
158,In-store,10,13
158,Online,10,14
159,In-store,7,9
159,Online,12,17
160,Online,15,19
161,Online,13,18
161,In-store,8,14
161,In-store,10,16
162,Online,10,16
163,In-store,5,13
163,In-store,10,13
163,Online,12,16
164,In-store,10,15
164,In-store,5,7
165,In-store,8,12
166,In-store,5,11
167,Online,8,15
167,In-store,7,13
167,Online,11,19
168,In-store,9,17
168,In-store,5,12
169,In-store,6,14
169,In-store,5,11
169,Online,11,13
170,In-store,6,8
171,In-store,6,11
172,Online,15,17
172,Online,14,22
172,In-store,7,10
173,In-store,10,14
173,In-store,8,15
173,Online,13,21
174,In-store,9,14
174,In-store,6,10
174,In-store,5,12
174,In-store,5,12
175,Online,9,12
176,In-store,8,11
176,In-store,9,11
177,In-store,10,14
177,In-store,6,11
178,In-store,8,13
179,Online,11,18
179,Online,15,18
179,In-store,7,11
180,In-store,6,8
180,In-store,10,17
181,In-store,7,13
182,In-store,10,13
182,In-store,9,14
183,Online,10,15
183,Online,14,20
183,In-store,9,13
184,Online,12,16
185,In-store,10,16
185,Online,13,21
186,Online,15,19
186,Online,15,18
186,In-store,6,8
186,In-store,10,17
187,Online,13,20
187,In-store,9,15
188,In-store,6,12
188,In-store,6,8
188,In-store,9,14
189,In-store,8,12
189,Online,14,18
190,In-store,10,16
190,Online,12,14
190,Online,11,16
190,In-store,8,16
191,In-store,6,9
191,In-store,7,9
192,In-store,9,17
192,Online,9,16
193,In-store,6,11
193,In-store,9,14
193,Online,10,12
194,In-store,7,9
195,In-store,6,13
196,In-store,5,12
196,In-store,8,14
196,In-store,5,9
197,In-store,5,10
197,Online,12,16
197,Online,8,13
197,In-store,6,9
198,In-store,7,15
198,In-store,8,16
199,In-store,5,13
200,Online,11,16
201,Online,11,18
201,In-store,9,16
201,In-store,10,13
201,In-store,5,7
202,In-store,9,13
203,In-store,7,9
203,In-store,8,10
203,Online,10,12
203,In-store,10,18
204,Online,14,21
205,Online,10,18
205,Online,15,19
205,In-store,8,13
206,In-store,7,14
206,Online,13,21
206,In-store,5,12
207,In-store,5,10
208,In-store,7,12
208,In-store,6,14
208,In-store,10,15
208,In-store,9,12
208,In-store,5,7
209,Online,11,17
210,In-store,5,11
211,In-store,6,14
212,In-store,9,15
213,Online,12,17
214,In-store,5,13
214,In-store,8,13
214,Online,13,16
214,In-store,9,15
215,Online,8,14
216,In-store,6,8
216,In-store,5,10
216,Online,14,19
217,In-store,6,14
217,Online,8,10
218,Online,12,18
219,Online,13,20
219,In-store,5,13
219,Online,11,14
219,In-store,5,7
220,In-store,5,12
220,Online,11,15
220,In-store,6,11
220,In-store,10,12
221,Online,14,16
221,In-store,9,14
221,Online,10,14
222,In-store,6,10
